system:index,NDVI_01_Jan,NDVI_02_Feb,NDVI_03_Mar,NDVI_04_Apr,NDVI_05_May,NDVI_06_Jun,NDVI_07_Jul,NDVI_08_Aug,NDVI_09_Sep,NDVI_10_Oct,NDVI_11_Nov,NDVI_12_Dec,NDVI_Max,NDVI_Mean,NDVI_Min,NDVI_StdDev,class,.geo
19_0,0.43911752,0.75570035,0.608088,0.14316624,0.7123415,0.88527775,0.78239936,0.19971469,0.8,0.8094371,0.58570784,0.1288621,0.88527775,0.5708177,0.1288621,0.264922934663723,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,0.43803057,0.7318454,0.59375,0.12941177,0.65331626,0.8413425,0.74528486,0.12482663,0.7594554,0.78810513,0.5518976,0.09831182,0.8413425,0.5379648,0.09831182,0.2648474327124277,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,0.7733752,0.74649394,0.35313937,0.18976684,0.7415882,0.8251299,0.72476166,0.32917038,0.36335722,0.3377542,-0.09125841,0.2778108,0.8251299,0.46425745,-0.09125841,0.27774387386777094,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,0.7686735,0.74407077,0.33706468,0.15539663,0.6748224,0.81752664,0.7074848,0.28971004,0.3644068,-0.23986381,-0.1588785,0.21841411,0.81752664,0.38990232,-0.23986381,0.34513895169339187,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,0.7612403,0.71906173,0.34869772,0.1463651,0.70975876,0.77015215,0.66778266,0.3480041,0.31956258,-0.3068483,-0.17827868,0.21334173,0.77015215,0.37657,-0.3068483,0.3506418379282769,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,0.3313253,0.56767315,0.5639247,0.325,0.26838234,0.35241893,0.45033303,0.59115005,0.72323954,0.13337989,0.37820268,0.2707802,0.72323954,0.41298416,0.13337989,0.16194279566301692,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,0.3974563,0.7813026,0.7292514,0.24264787,0.12759644,0.14845024,0.5715577,0.7675105,0.6969259,-0.04728012,0.26672173,0.29560086,0.7813026,0.41481176,-0.04728012,0.27306826457900313,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,0.38004074,0.74015856,0.7284923,0.30799475,0.22261484,0.16391554,0.55654496,0.7463639,0.69078827,-0.13152985,0.39007092,0.30409816,0.7463639,0.42496276,-0.13152985,0.263478952828127,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,0.7862138,0.8169239,0.5627365,0.2783648,0.2631579,0.8037984,0.7915014,0.27005962,0.36956522,-0.05673158,0.11878453,0.09156453,0.8169239,0.42466158,-0.05673158,0.30175154639895085,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,0.59411436,0.6886766,0.55780345,0.3735698,0.4686993,0.6159153,0.6664956,0.55475116,0.6164003,0.45863515,0.6561788,0.45736122,0.6886766,0.5590501,0.3735698,0.09510685907902322,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,0.7214161,0.7949833,0.56976914,0.30075595,0.1991183,0.7331982,0.8105715,0.48081714,0.4418198,0.1442869,0.21674877,0.17941177,0.8105715,0.46607473,0.1442869,0.24519614717090404,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,0.46151507,0.55841845,0.4994213,0.36717948,0.46561444,0.5136769,0.71597636,0.51693666,0.70953965,0.59394854,0.5785838,0.4231003,0.71597636,0.5336592,0.36717948,0.10085646125432508,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,0.4636744,0.6221712,0.59006214,0.27733096,0.33506763,0.6630584,0.73128206,0.32625,0.45823306,0.6750096,0.62909895,0.34164256,0.73128206,0.50940675,0.27733096,0.15396531859903206,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,0.47938144,0.7380121,0.6834491,0.28776726,0.27613294,0.8458957,0.7299056,0.20647773,0.4217531,0.4596323,0.6283186,0.118320614,0.8458957,0.4895872,0.118320614,0.2260418840268701,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,0.2070886,0.20449117,0.2040239,0.4225445,0.21185046,0.370868,0.49131945,0.35187212,0.4100295,0.50163937,0.48453608,0.4315277,0.50163937,0.35764924,0.2040239,0.11485726644457345,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
